Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Repaired?
2013-01-14 00:00:00-05:00,7.000000029802322,7.000000029802322,6.499999761581421,6.499999761581421,288000,0.0,0.0,0.0,True
2013-01-15 00:00:00-05:00,7.000000029802322,7.000000029802322,7.000000029802322,7.000000029802322,38080,0.0,0.0,0.0,True
2013-01-16 00:00:00-05:00,6.499999761581421,6.499999761581421,6.499999761581421,6.499999761581421,5000,0.0,0.0,0.0,True
2013-01-17 00:00:00-05:00,7.000000029802322,7.000000029802322,7.000000029802322,7.000000029802322,65016,0.0,0.0,0.0,True
2013-01-18 00:00:00-05:00,7.500000298023224,8.500000089406967,7.500000298023224,7.999999821186066,87208,0.0,0.0,0.0,True
2013-01-22 00:00:00-05:00,8.500000089406967,9.000000357627869,8.500000089406967,9.000000357627869,89500,0.0,0.0,0.0,True
2013-01-23 00:00:00-05:00,9.000000357627869,9.000000357627869,7.500000298023224,8.500000089406967,189800,0.0,0.0,0.0,True
2013-01-24 00:00:00-05:00,8.500000089406967,9.000000357627869,7.999999821186066,7.999999821186066,45000,0.0,0.0,0.0,True
2013-01-25 00:00:00-05:00,7.999999821186066,7.999999821186066,7.999999821186066,7.999999821186066,16000,0.0,0.0,0.0,True
2013-01-28 00:00:00-05:00,8.500000089406967,8.500000089406967,8.500000089406967,8.500000089406967,5000,0.0,0.0,0.0,True
2013-01-29 00:00:00-05:00,8.500000089406967,8.500000089406967,7.500000298023224,7.500000298023224,77500,0.0,0.0,0.0,True
2013-01-30 00:00:00-05:00,7.500000298023224,7.500000298023224,7.000000029802322,7.000000029802322,33000,0.0,0.0,0.0,True
2013-01-31 00:00:00-05:00,7.999999821186066,7.999999821186066,7.500000298023224,7.500000298023224,18500,0.0,0.0,0.0,True
2013-02-01 00:00:00-05:00,7.500000298023224,7.500000298023224,7.500000298023224,7.500000298023224,4000,0.0,0.0,0.0,True
2013-02-04 00:00:00-05:00,7.999999821186066,7.999999821186066,7.500000298023224,7.500000298023224,16115,0.0,0.0,0.0,True
2013-02-05 00:00:00-05:00,7.500000298023224,7.500000298023224,7.000000029802322,7.000000029802322,128665,0.0,0.0,0.0,True
2013-02-06 00:00:00-05:00,7.500000298023224,7.500000298023224,7.000000029802322,7.000000029802322,127200,0.0,0.0,0.0,True
2013-02-07 00:00:00-05:00,7.500000298023224,7.500000298023224,7.500000298023224,7.500000298023224,33500,0.0,0.0,0.0,True
2013-02-08 00:00:00-05:00,7.500000298023224,7.500000298023224,7.500000298023224,7.500000298023224,0,0.0,0.0,0.0,True
2013-02-11 00:00:00-05:00,7.000000029802322,7.000000029802322,7.000000029802322,7.000000029802322,18000,0.0,0.0,0.0,True
2013-02-12 00:00:00-05:00,7.000000029802322,7.000000029802322,7.000000029802322,7.000000029802322,54000,0.0,0.0,0.0,True
2013-02-13 00:00:00-05:00,7.000000029802322,7.000000029802322,7.000000029802322,7.000000029802322,0,0.0,0.0,0.0,True
2013-02-14 00:00:00-05:00,7.000000029802322,7.000000029802322,7.000000029802322,7.000000029802322,14994,0.0,0.0,0.0,True
2013-02-15 00:00:00-05:00,7.000000029802322,7.000000029802322,7.000000029802322,7.000000029802322,15000,0.0,0.0,0.0,True
2013-02-19 00:00:00-05:00,7.000000029802322,7.000000029802322,7.000000029802322,7.000000029802322,11800,0.0,0.0,0.0,True
2013-02-20 00:00:00-05:00,7.500000298023224,7.500000298023224,7.500000298023224,7.500000298023224,17000,0.0,0.0,0.0,True
2013-02-21 00:00:00-05:00,7.500000298023224,7.500000298023224,7.500000298023224,7.500000298023224,20000,0.0,0.0,0.0,True
2013-02-22 00:00:00-05:00,7.500000298023224,7.500000298023224,7.500000298023224,7.500000298023224,30000,0.0,0.0,0.0,True
2013-02-25 00:00:00-05:00,7.000000029802322,7.000000029802322,7.000000029802322,7.000000029802322,15000,0.0,0.0,0.0,True
2013-02-26 00:00:00-05:00,7.500000298023224,7.500000298023224,7.000000029802322,7.000000029802322,49000,0.0,0.0,0.0,True
2013-02-27 00:00:00-05:00,7.000000029802322,7.500000298023224,7.000000029802322,7.500000298023224,75000,0.0,0.0,0.0,True
2013-02-28 00:00:00-05:00,7.000000029802322,7.000000029802322,5.499999970197678,5.499999970197678,570406,0.0,0.0,0.0,True
2013-03-01 00:00:00-05:00,5.999999865889549,6.199999898672104,5.000000074505806,5.999999865889549,935400,0.0,0.0,0.0,True
2013-03-04 00:00:00-05:00,5.499999970197678,5.499999970197678,5.499999970197678,5.499999970197678,15000,0.0,0.0,0.0,True
2013-03-05 00:00:00-05:00,5.499999970197678,5.499999970197678,5.499999970197678,5.499999970197678,0,0.0,0.0,0.0,True
